序号,接口表名,数据类别,id,biz_unique_id,app_group_id,app_group_name,top_group_code,achievement_code,achievement_provider,achievement_desc,achievement_type,apply_industry,served_scene,online_time,create_time,update_time,del_status,favorited,来源接口
11,DATA_INNOVATION,创新成果-数据创新成果,546,712,32,API产品,DATA,企业专利信息核查,贵州数据宝网络科技有限公司,本产品核查企业持有的专利信息，包括专利数量、类型（发明/实用新型/外观设计）、法律状态和剩余有效期等维度。在知识产权保险和科技企业保险中，专利组合的价值和有效性是确定保险标的和保险金额的核心评估依据。,API产品,"F,J,L,M,S",,2026-08-14 14:31:47,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
12,DATA_INNOVATION,创新成果-数据创新成果,547,711,32,API产品,DATA,企业法院公告核查,贵州数据宝网络科技有限公司,本产品核查企业涉及的法院公告信息（破产清算、债权人会议等）。破产清算公告意味着企业进入破产程序，其在保险领域的投保资格和保单效力均需重新评估。,API产品,"F,J,L,M,S",,2026-08-14 14:28:40,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
13,DATA_INNOVATION,创新成果-数据创新成果,548,710,32,API产品,DATA,被执行企业核查,贵州数据宝网络科技有限公司,本产品核查企业是否被法院列为被执行人及执行标的金额。执行标的是判断企业现金流压力的直接信号，在执行金额较大时企业资金链风险显著增加。在企业信用保证保险核保中需重点评估。,API产品,"F,J,M,L,S",,2026-08-14 14:23:06,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
14,DATA_INNOVATION,创新成果-数据创新成果,549,709,32,API产品,DATA,企业运力评估,贵州数据宝网络科技有限公司,本产品评估物流和运输企业的运力规模和能力。在货物运输险和物流保险中，企业运力是确定承保能力和费率的重要参数，评估结果用于物流企业保险产品的精准定价和核保决策。,API产品,"F,M,L,J,S",,2026-08-14 14:21:11,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
15,DATA_INNOVATION,创新成果-数据创新成果,550,708,32,API产品,DATA,企业多条件查询,贵州数据宝网络科技有限公司,本产品支持按多个条件（行业、地区、注册资本、成立时间等）组合查询企业。在保险营销的名单筛选和精准获客中，多条件组合可高效筛选目标客户群体。,API产品,"F,J,L,M,S",,2026-08-14 14:19:09,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
16,DATA_INNOVATION,创新成果-数据创新成果,551,707,32,API产品,DATA,人员关联企业核查,贵州数据宝网络科技有限公司,本产品核查个人关联的所有企业（担任法人、股东、高管等角色）。在保险核保中，个人关联多家企业的复杂度会影响其信用评估，关联企业在经营异常的需特别关注。,API产品,"F,J,M,L,S",,2026-08-14 14:16:30,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
17,DATA_INNOVATION,创新成果-数据创新成果,552,706,32,API产品,DATA,最新注册企业查询,贵州数据宝网络科技有限公司,本产品查询最新注册企业信息。在保险市场营销中，新注册企业是团险和财产险的增量客户来源，该接口帮助保险公司及时发现和触达新企业客户。,API产品,"F,J,L,M,S",,2026-08-14 14:14:43,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
18,DATA_INNOVATION,创新成果-数据创新成果,553,705,32,API产品,DATA,企业道路运输经营许可证核验（定制版）,贵州数据宝网络科技有限公司,本产品核验企业的道路运输经营许可证，为物流和运输企业的保险业务提供资质验证。在货物运输险和物流责任险中，无证经营运输的企业不具备合法投保资格。,API产品,"F,L,M,J,S",,2026-08-14 14:12:33,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
19,DATA_INNOVATION,创新成果-数据创新成果,554,704,32,API产品,DATA,企业税务非正常户核查,贵州数据宝网络科技有限公司,本产品核查企业是否为税务非正常户。税务异常意味着企业存在严重的经营和合规问题，在保险领域通常作为自动拒保的硬指标。,API产品,"F,J,L,M,S",,2026-08-14 14:09:44,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
20,DATA_INNOVATION,创新成果-数据创新成果,555,703,32,API产品,DATA,企业对公账户打款核验,贵州数据宝网络科技有限公司,本产品通过对公账户打款方式核验企业账户真实性。在小额打款验证后，可确认企业对公账户的有效性和一致性，为后续保费交易提供账户安全基础。,API产品,"F,J,L,M,S",,2026-08-14 14:05:58,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
21,DATA_INNOVATION,创新成果-数据创新成果,556,702,32,API产品,DATA,企业经营异常信息查验,贵州数据宝网络科技有限公司,本产品查验企业被列入经营异常名录的记录及原因。异常信息意味着企业在信披、年报等方面存在问题。在企业信用保证保险中，经营异常是高风险预警信号，某保险公司据此拒保约15%的异常企业。,API产品,"F,J,L,M,S",,2026-08-14 14:02:26,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
22,DATA_INNOVATION,创新成果-数据创新成果,557,701,32,API产品,DATA,企业主要人员核验,贵州数据宝网络科技有限公司,本产品核验企业法定代表人、董事、监事、高管等主要人员信息。在团险和董责险中，企业管理层人员的履历和信用直接影响企业风险评估。,API产品,"F,J,L,M,S",,2026-08-14 11:53:13,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
23,DATA_INNOVATION,创新成果-数据创新成果,558,700,32,API产品,DATA,企业基础信息核验,贵州数据宝网络科技有限公司,本产品核验企业工商注册基础信息的真实性和有效性。在团险所有业务流程中，企业基础信息是进行任何后续风险评估的数据起点。,API产品,"F,J,L,M,S",,2026-08-14 11:50:14,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
24,DATA_INNOVATION,创新成果-数据创新成果,559,699,32,API产品,DATA,企业信息综合评估,贵州数据宝网络科技有限公司,本产品综合多维度企业数据输出综合风险评分。在企业信用保证保险中，综合评分替代了主观判断，实现了标准化的承保决策流程。,API产品,"F,L,M,S,J",,2026-08-14 11:38:56,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
25,DATA_INNOVATION,创新成果-数据创新成果,560,698,32,API产品,DATA,企业失信被执行人查验,贵州数据宝网络科技有限公司,本产品标准版企业失信查验，在团险批量核保中快速筛查失信企业。批量模式下每日可处理数千家企业的失信状态筛查，效率远超人工逐一查询。,API产品,"F,J,M,S,L",,2026-08-14 11:37:01,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
26,DATA_INNOVATION,创新成果-数据创新成果,561,697,32,API产品,DATA,企业信息数量查验,贵州数据宝网络科技有限公司,本产品查验企业关联的各类信息数量（如分支机构数、对外投资数、裁判文书数等）。信息数量侧面反映了企业的经营活跃度和复杂度，为团险风险评估提供辅助判断。,API产品,"F,L,M,J,S",,2026-08-14 11:34:56,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
27,DATA_INNOVATION,创新成果-数据创新成果,562,696,32,API产品,DATA,全国车辆VIN基础信息查验（车型年款品牌）,贵州数据宝网络科技有限公司,"本产品通过VIN码查询车辆品牌、车型和年款基础信息。在车险快速录入中，三项基础参数是车型识别的最小信息集，响应速度极快。
",API产品,"G,I,J,L",,2026-08-14 11:34:49,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
28,DATA_INNOVATION,创新成果-数据创新成果,563,695,32,API产品,DATA,全国车辆VIN基础信息查验（排放标准）,贵州数据宝网络科技有限公司,"本产品通过VIN码查询车辆排放标准（国三/四/五/六等）。在城市车险差异化定价中，排放标准影响限行政策下的行驶区域风险特征，高排放车辆在限行区的事故特征有所不同。
",API产品,"G,I,J,L",,2026-08-14 11:32:32,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
29,DATA_INNOVATION,创新成果-数据创新成果,564,694,32,API产品,DATA,全国车辆VIN基础信息查验（准牵引总质量）,贵州数据宝网络科技有限公司,"本产品查询货车VIN码对应的准牵引总质量。在货车保险和挂车保险中，准牵引质量是计算风险敞口和确定保费的基础参数，直接影响责任险限额设定。
",API产品,"G,I,J,L",,2026-08-14 11:30:29,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
30,DATA_INNOVATION,创新成果-数据创新成果,565,693,32,API产品,DATA,全国车辆配置查验（车牌号）,贵州数据宝网络科技有限公司,"本产品通过车牌号查询车辆完整配置信息。在车险比价和续保场景中，客户仅需提供车牌号，系统即可自动还原车辆档案，投保信息录入效率大幅提升。
",API产品,"G,I,F,L,J",,2026-08-14 11:28:17,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
31,DATA_INNOVATION,创新成果-数据创新成果,566,692,32,API产品,DATA,企业失信被执行人失信详情查验,贵州数据宝网络科技有限公司,本产品查验企业失信的详细信息和具体事由。在企业信用保证保险中，失信的严重程度（涉案金额、失信类型）直接影响核保结论，需要详版数据支持精准决策。,API产品,"F,G,I,J,L",,2026-08-14 11:26:35,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
32,DATA_INNOVATION,创新成果-数据创新成果,567,691,32,API产品,DATA,全国车辆配置查验（VIN）,贵州数据宝网络科技有限公司,"本产品通过VIN码查询车辆完整配置信息（品牌、型号、排量、变速箱、安全配置等）。在车险投保环节，代理人仅需VIN码即可获取全部车辆参数，替代传统手动选择多级车型。
",API产品,"I,J,G,L,F",,2026-08-14 11:26:28,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
33,DATA_INNOVATION,创新成果-数据创新成果,568,690,32,API产品,DATA,企业行政处罚信息查验,贵州数据宝网络科技有限公司,本产品查验企业受到的行政处罚记录。安全生产、环保领域的处罚记录是评估企业经营风险的重要信号。某保险公司发现近两年有安全生产处罚的企业，财产险理赔率是零处罚企业的2.4倍。,API产品,"F,G,I,J,L",,2026-08-14 11:24:20,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
34,DATA_INNOVATION,创新成果-数据创新成果,569,689,32,API产品,DATA,企业案件基础信息核验,贵州数据宝网络科技有限公司,本产品查询企业涉及的司法案件基础信息。在董责险核保中，企业涉诉状况是评估管理层责任风险的核心依据，某保险公司D&O核保团队接入后评估覆盖度提升约40%。,API产品,"F,G,I,J,L",,2026-08-14 11:22:05,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
35,DATA_INNOVATION,创新成果-数据创新成果,570,688,32,API产品,DATA,企业红黑名单核验,贵州数据宝网络科技有限公司,本产品查询企业是否被列入各类红黑名单。红名单企业可享受更优的团险费率和快速核保通道，黑名单企业需加强审核。某保险公司据此优化团险核保流程，优质客户核保时效缩短约60%。,API产品,"F,G,I,J,L",,2026-08-14 11:14:25,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
36,DATA_INNOVATION,创新成果-数据创新成果,571,687,32,API产品,DATA,企业全量信息核验,贵州数据宝网络科技有限公司,本产品提供企业全维度信息的一站式核验，覆盖工商、司法、税务、经营等多个维度。在团险大客户深度核保中，全量信息为全面评估企业风险提供了最高维度的数据支撑。,API产品,"F,G,I,J,L",,2026-08-14 11:04:38,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
37,DATA_INNOVATION,创新成果-数据创新成果,572,686,32,API产品,DATA,企业经营凭证核验,贵州数据宝网络科技有限公司,本产品核验企业经营相关资质凭证的真实性和有效性，包括各类经营许可证、特许经营资质等。在企业财产险、责任险和信用保证保险的投保审核中，经营资质凭证是确认企业合法经营范围和能力的基础文件，直接影响保险责任范围的界定。,API产品,"F,G,I,J,L",,2026-08-14 10:55:28,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
38,DATA_INNOVATION,创新成果-数据创新成果,573,685,32,API产品,DATA,企业对公账户核验,贵州数据宝网络科技有限公司,本产品核验企业对公账户信息与企业工商信息的一致性。在团体保险保费缴纳和理赔款支付中，确保资金在企业对公账户间流转，某保险公司接入后保费错付率降低95%。,API产品,"F,G,I,J,L",,2026-08-14 10:52:41,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
39,DATA_INNOVATION,创新成果-数据创新成果,574,684,32,API产品,DATA,企业四要素验证,贵州数据宝网络科技有限公司,本产品标准版企业四要素验证，在团险标准核保流程中提供基础的企业身份和数据质量检验。四要素验证比三要素更严格，进一步降低信息错误导致的理赔风险。,API产品,"F,G,I,J,L",,2026-08-14 10:50:04,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
40,DATA_INNOVATION,创新成果-数据创新成果,575,683,32,API产品,DATA,企业四要素验证（详版）,贵州数据宝网络科技有限公司,本产品提供企业名称+信用代码+法人+注册资本四要素详版核验。四要素交叉验证在企业大额保单（如董责险）核保中，提供了最高精度的企业身份确认。,API产品,"F,G,I,J,L",,2026-08-14 10:40:11,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
41,DATA_INNOVATION,创新成果-数据创新成果,576,682,32,API产品,DATA,企业详情信息核验,贵州数据宝网络科技有限公司,本产品提供企业工商登记的详情级信息核验，返回企业最全面的注册信息。在团险深度核保中，详情信息为全面评估企业经营状况提供了完整的数据基础。,API产品,"F,G,I,J,L",,2026-08-14 10:31:05,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
42,DATA_INNOVATION,创新成果-数据创新成果,577,681,32,API产品,DATA,企业失信被执行人核验,贵州数据宝网络科技有限公司,本产品核验企业是否被列入失信被执行人名单。失信企业面临多方面的经营限制，其正常履约能力严重受损，在保险领域不具备投保履约保证保险的资质条件。,API产品,"F,G,I,J,L",,2026-08-14 10:28:48,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
43,DATA_INNOVATION,创新成果-数据创新成果,578,680,32,API产品,DATA,企业限高被执行人核验,贵州数据宝网络科技有限公司,本产品核验企业是否被限制高消费及法定代表人是否被限高。在团险和信用保证保险中，限高是现金流压力的强烈信号，被限高的企业不具备投保保证保险的基本条件。,API产品,"F,G,I,J,L",,2026-08-14 10:26:45,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
44,DATA_INNOVATION,创新成果-数据创新成果,579,679,32,API产品,DATA,企业三要素验证（详版）,贵州数据宝网络科技有限公司,本产品在三要素核验基础上返回企业注册资本、成立日期、经营范围等详情。在团险核保中，企业规模和经营范围是评估风险敞口的重要依据。注册资本过低的企业在履约保证保险中需加强审核。,API产品,"F,G,I,J,L",,2026-08-14 10:24:50,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
45,DATA_INNOVATION,创新成果-数据创新成果,580,678,32,API产品,DATA,企业二要素验证,贵州数据宝网络科技有限公司,本产品提供企业名称+统一社会信用代码二要素轻量核验。在团险快速报价和简易投保中，二要素即可满足基本的企业身份确认，响应更快、成本更低。,API产品,"G,F,I,J,L",,2026-08-14 10:22:24,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
46,DATA_INNOVATION,创新成果-数据创新成果,581,677,32,API产品,DATA,企业三要素验证,贵州数据宝网络科技有限公司,本产品提供企业名称+统一社会信用代码+法定代表人三要素核验。在团险KYC中，三要素验证是验证投保企业合法性的基础步骤，某保险公司企业客户准入环节使用该接口，不合规企业自动拦截率提升约95%。,API产品,"F,G,I,J,L",,2026-08-14 10:18:34,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
47,DATA_INNOVATION,创新成果-数据创新成果,582,676,32,API产品,DATA,道路运输从业人员资格证核验（定制版）V3,贵州数据宝网络科技有限公司,本产品为V3升级版定制从业人员资格证核验，扩展了资格类型覆盖范围（客运/货运/危货等）。在差异化保险产品中，不同资格类型对应不同的风险等级和保费水平。,API产品,"F,J,L,M,S",,2026-08-14 10:15:36,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
48,DATA_INNOVATION,创新成果-数据创新成果,583,675,32,API产品,DATA,二手车VIN估值,贵州数据宝网络科技有限公司,本产品基于VIN码评估二手车市场价值。在二手车保险场景中，车辆实际价值是确定保险金额的基础。某保险公司使用该接口辅助确定保额基准，保单争议率下降约25%。,API产品,"F,G,I,J,L",,2026-08-14 10:14:23,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
49,DATA_INNOVATION,创新成果-数据创新成果,584,674,32,API产品,DATA,道路运输许可证核验（定制版）V3,贵州数据宝网络科技有限公司,本产品为V3升级版定制道路运输许可证核验，优化了数据时效和响应速度。在保险实时核保中，V3版使用最新数据，确保运输许可状态的准确性。,API产品,"F,J,L,M,S",,2026-08-14 10:13:52,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
50,DATA_INNOVATION,创新成果-数据创新成果,585,673,32,API产品,DATA,道路运输许可证核验（定制版）,贵州数据宝网络科技有限公司,本产品为定制版道路运输许可证核验，支持按保险公司需求配置核验规则和字段。在保险业务差异化需求中，定制版提供了更灵活的运政数据接入方案。,API产品,"F,J,L,M,S",,2026-08-14 10:11:11,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
51,DATA_INNOVATION,创新成果-数据创新成果,586,672,32,API产品,DATA,车辆投保日期核验,贵州数据宝网络科技有限公司,本产品核验车辆保险投保日期和保单状态。在车险续保营销中，精准获取投保日期有助于确定续保提醒的最佳时机，避免在客户已续保后重复打扰。,API产品,"F,G,I,J,L",,2026-08-14 10:10:38,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
52,DATA_INNOVATION,创新成果-数据创新成果,587,671,32,API产品,DATA,道路运输从业人员资格证核验,贵州数据宝网络科技有限公司,本产品核验道路运输从业人员的资格证信息。在物流保险和承运人责任险中，驾驶员持证上岗是理赔的前提条件——事故发生时驾驶员无从业资格的，保险公司可依据条款拒赔。,API产品,"F,J,L,M,S",,2026-08-14 10:07:05,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
53,DATA_INNOVATION,创新成果-数据创新成果,588,670,32,API产品,DATA,企业道路运输经营许可证核验,贵州数据宝网络科技有限公司,本产品核验企业的道路运输经营许可证。在物流企业保险中，企业层面的运输许可比单车许可更具基础性，无证企业经营运输属于非法经营，保险不承担相关责任。,API产品,"F,J,L,M,S",,2026-08-14 10:03:43,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
54,DATA_INNOVATION,创新成果-数据创新成果,589,669,32,API产品,DATA,道路运输许可证核验,贵州数据宝网络科技有限公司,本产品核验营运车辆的道路运输许可证真实性和有效性。在营运车辆保险中，许可证是判断车辆合法营运资格的法定证件，无证营运车辆不具备投保资格。某保险公司通过该接口拦截了约8%的无证或证件过期的投保申请。,API产品,"F,J,L,M,S",,2026-08-14 09:54:39,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
55,DATA_INNOVATION,创新成果-数据创新成果,590,668,32,API产品,DATA,企业运力核验,贵州数据宝网络科技有限公司,本产品核验运输企业的运力规模和资质。在物流保险和货物运输险中，企业运力是确定承保能力和厘定费率的重要因素。运力不足的企业在承接大型运输任务时超负荷运营风险更高。,API产品,"F,J,L,M,S",,2026-08-14 09:52:30,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
56,DATA_INNOVATION,创新成果-数据创新成果,591,666,32,API产品,DATA,客车车险模型评分,贵州数据宝网络科技有限公司,本产品为客车的车险风险模型评分，输出风险等级和评分。在客车保险的精准定价中，基于高速通行数据的评分比传统定价因子具有更强的风险区分能力。,API产品,"F,J,L,M,S",,2026-08-14 09:48:14,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
57,DATA_INNOVATION,创新成果-数据创新成果,592,665,32,API产品,DATA,高速车辆超速行为评估,贵州数据宝网络科技有限公司,本产品评估高速车辆的交通超速行为频率和严重程度。超速是事故风险的直接预测因子，高频超速驾驶员的出险率显著高于正常驾驶人群。某车险公司将该评估纳入UBI模型后赔付率进一步优化。,API产品,"F,J,L,M,S",,2026-08-14 09:44:50,2026-08-15 02:01:13,2026-08-15 02:01:13,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=DATA_INNOVATION
