页面URL,页面分类,页面标题,正文片段序号,正文片段总数,正文片段
https://dibj.cn/cxfuww/szzyml/zjml,数字资源,组件目录 - 数智北京创新中心,1,1,组件目录 - 数智北京创新中心 组件目录 组件目录 请您登录个人中心查看 登录个人中心 稍后登录
https://dibj.cn/cxfuww/szzyml/zjml/,数字资源,组件目录 - 数智北京创新中心,1,1,组件目录 - 数智北京创新中心 组件目录 组件目录 请您登录个人中心查看 登录个人中心 稍后登录
https://dibj.cn/fywmww,关于我们,关于我们 - 数智北京创新中心,1,1,关于我们 - 数智北京创新中心 关于我们 常见问题 中心简介 数智北京创新中心拟依托首都创新资源优势，通过提供实景实数的城市实验沙盘，微缩部署智慧城市共性基础设施，构建公共数据可信融合渠道，支持智慧城市创新和公共数据融合创新，打造智慧城市资源集聚区、数据要素创新策源地、城市数智化建设新范式和数字产业生态构建新引擎。 总体架构 五大业务 一平台 三支撑 联系我们 中心地址：北京市通州区新华东街48号2区 中心电话：010-59703511；010-59703522
https://dibj.cn/fywmww/,关于我们,关于我们 - 数智北京创新中心,1,1,关于我们 - 数智北京创新中心 关于我们 常见问题 中心简介 数智北京创新中心拟依托首都创新资源优势，通过提供实景实数的城市实验沙盘，微缩部署智慧城市共性基础设施，构建公共数据可信融合渠道，支持智慧城市创新和公共数据融合创新，打造智慧城市资源集聚区、数据要素创新策源地、城市数智化建设新范式和数字产业生态构建新引擎。 总体架构 五大业务 一平台 三支撑 联系我们 中心地址：北京市通州区新华东街48号2区 中心电话：010-59703511；010-59703522
https://dibj.cn/fywmww/cjwt/,关于我们,常见问题 - 数智北京创新中心,1,1,常见问题 - 数智北京创新中心 首页 > 常见问题 我要去创新中心 2026-06-02 查看详情 << 1 >> 共1页
https://dibj.cn/fzpt/,创新服务-其他,数智北京创新中心,1,1,数智北京创新中心 首页 创新服务 创新成果 数字资源 我要提供 我要申请 政策解读 关于我们 走进创新中心 登录 全部 查需求 查成果 查资源 搜索 主题 揭榜中 对接中 已完成 搜索 主题 应用成果 数据成果 搜索 搜索 热门文章： 刘烈宏出席中国发展高层论坛2026年年会并演讲 资源展示 云网算资源 组件资源 共性服务 8 数据资源 技术创新 能力清单 我要提供 我要参与 提供场景 11 提供数据 9 提供应用 4 提供服务 3 提供组件 9 我要申请 预约参观 加入伙伴 申请入驻 我要揭榜 120 需求反馈 18 数据创新 数据资源目录 入驻项目 加载中... 加载中... 场景创新 揭榜中 对接中 已完成 新闻资讯 +更多 专家解读 | 筑牢数智底座 激活要素动能《关于推进行业高质量数据集建设行动的实施方案》解读 专家解读 | 筑基智能时代，释放数据价值 应用市场 应用创新成果 数据创新成果 活动预告 +更多 2026-06-30 2026数智北京场景创新需求发布暨第一届数智技术创新大赛 2026-04-15 “走进数智北京创新中心”之供需对接活动2026年第二场预通知 2026-01-30 “智领未来·政务先行”政务大模型应用管理创新论坛活动 X 创新中心调研问卷 X X X
https://dibj.cn/fzpt/cjyz/djz,创新服务-场景培育,对接中 - 数智北京创新中心,1,1,对接中 - 数智北京创新中心 首页 > 场景创新 > 对接中 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/djz/,创新服务-场景培育,对接中 - 数智北京创新中心,1,1,对接中 - 数智北京创新中心 首页 > 场景创新 > 对接中 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/jbz,创新服务-场景培育,揭榜中 - 数智北京创新中心,1,1,揭榜中 - 数智北京创新中心 首页 > 场景创新 > 揭榜中 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/jbz/,创新服务-场景培育,揭榜中 - 数智北京创新中心,1,1,揭榜中 - 数智北京创新中心 首页 > 场景创新 > 揭榜中 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szfw,创新服务-场景培育,数字服务类 - 数智北京创新中心,1,1,数字服务类 - 数智北京创新中心 首页 > 场景创新 > 数字服务类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szfw/,创新服务-场景培育,数字服务类 - 数智北京创新中心,1,1,数字服务类 - 数智北京创新中心 首页 > 场景创新 > 数字服务类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szjs,创新服务-场景培育,数字技术类 - 数智北京创新中心,1,1,数字技术类 - 数智北京创新中心 首页 > 场景创新 > 数字技术类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szjs/,创新服务-场景培育,数字技术类 - 数智北京创新中心,1,1,数字技术类 - 数智北京创新中心 首页 > 场景创新 > 数字技术类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szzll,创新服务-场景培育,数字治理类 - 数智北京创新中心,1,1,数字治理类 - 数智北京创新中心 首页 > 场景创新 > 数字治理类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/szzll/,创新服务-场景培育,数字治理类 - 数智北京创新中心,1,1,数字治理类 - 数智北京创新中心 首页 > 场景创新 > 数字治理类 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/ywc,创新服务-场景培育,已完成 - 数智北京创新中心,1,1,已完成 - 数智北京创新中心 首页 > 场景创新 > 已完成 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cjyz/ywc/,创新服务-场景培育,已完成 - 数智北京创新中心,1,1,已完成 - 数智北京创新中心 首页 > 场景创新 > 已完成 揭榜中 对接中 已完成
https://dibj.cn/fzpt/cxnlqd/,创新服务-技术创新能力,2025北京数据技术创新能力清单 - 数智北京创新中心,1,1,2025北京数据技术创新能力清单 - 数智北京创新中心 2025北京数据技术创新能力清单 本能力清单中，如果有您需要的或感兴趣的，请选择所需的能力项，并填写登记表单。我们在收到您提交的需求后，将尽快与您联系。 数据采集治理技术 数据计算存储技术 数据智能技术 数据流通交易技术 数据开发应用技术 数据安全技术 序号 技术方向 内容描述 支持单位 重点应用领域 序号 技术方向 内容描述 支持单位 重点应用领域 序号 技术方向 内容描述 支持单位 重点应用领域 序号 技术方向 内容描述 支持单位 重点应用领域 序号 技术方向 内容描述 支持单位 重点应用领域 序号 技术方向 内容描述 支持单位 重点应用领域 请填写企业基本信息: * 单位名称 * 统一社会信用代码 * 注册地址 * 法定代表人 * 申请联系人姓名 * 申请联系人电话 * 申请联系人职务 * 申请联系人邮箱/传真 提交申请
https://dibj.cn/fzpt/rmss/,创新服务-成果与搜索,热门搜索 - 数智北京创新中心,1,1,热门搜索 - 数智北京创新中心 首页 > 热门搜索 刘烈宏出席中国发展高层论坛2026年年会并演讲 2026-03-24 查看详情 << 1 >> 共1页
