序号,接口表名,数据类别,id,biz_unique_id,catalog_id,catalog_name,component_name,provider,component_desc,component_version,process_type,create_time,update_time,data_time,del_status,valid_status,visit_count,favorited,deploy_url,来源接口
12,COMPONENT_RESOURCE,创新服务-组件资源,169,1507,"2,900,902,","网络安全,",360日志收集与分析系统,三六零数字安全科技集团有限公司,360日志收集与分析系统是一款配置简单、开箱即用的安全日志审计产品，软硬一体化部署，借助于360核心安全大脑，提供多源日志采集、标准化数据处理、合规存储、多维关联分析等功能，能够帮助客户快速实现各类安全设施日志数据集中管理分析以及合规审计，满足网络安全法对于日志留存的要求；并结合监测仪表、威胁场景分析、溯源取证、审计报表等功能应用，帮助用户提升安全工作效率。,2.0.0,2,2026-07-25 02:01:14,2026-08-18 08:46:12,2026-07-23 17:56:51,0,0,1,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
13,COMPONENT_RESOURCE,创新服务-组件资源,170,1506,"2,900,902,","网络安全,",三六零磐云安全防护系统,三六零数字安全科技集团有限公司,三六零磐云安全防护系统为用户网站提供SaaS化云端网站安全防护服务。360磐云Web应用安全云防护系统为网站提供反向代理替身防护，隐藏了后端网站。网站云环境及本地网站环境均可提供防护。,1.2.0,2,2026-07-25 02:01:14,2026-09-02 09:59:58,2026-07-23 17:56:16,0,0,2,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
14,COMPONENT_RESOURCE,创新服务-组件资源,171,1505,"2,900,902,","网络安全,",本地安全大脑,三六零数字安全科技集团有限公司,本地安全大脑是360数字安全架构平台化能力的落地实践，以“智能看见 + 自动化处置”为核心目标，运用云计算、大数据、大模型等新一代信息技术，向下汇聚传统安全设备数据，形成覆盖云、网、边、端、数、人全维的探针体系；向上承接360云端赋能体系，为安全态势感知、资产漏洞管理、威胁风险检测、响应处置与协同、抗攻击能力评估等安全运营工作提供“感知更精准 - 研判更高效 - 处置更智能”的一站式智能解决方案。,1.2.0,2,2026-07-25 02:01:14,2026-08-12 15:21:57,2026-07-23 17:55:43,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
15,COMPONENT_RESOURCE,创新服务-组件资源,160,1503,"2,1200,1203,","办公协同,",轻舟AI中台,北京金山办公软件股份有限公司,轻舟AI中台是一款企业客户不用换系统、不用买机器、不用等排期，就能用上文档AI能力，实现数据不出域、效果可调优、且部署轻量的AI扩展插件。包含文档编辑器相关的核心AI功能、AI开放能力：1. 写作助手：AI帮我写、AI帮我改、深度创作、AI仿写、AI排版。2.阅读助手：AI全文总结、AI文档问答、AI段落总结、划词翻译/解释。3. 设计助手：主题生成PPT、文档生成PPT、大纲生成PPT、AI生成单页/多页。4.数据助手：AI写公式、AI数据分析、AI表格助手。,1.0.0,2,2026-07-19 02:01:14,2026-09-01 17:01:43,2026-07-17 15:16:47,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
16,COMPONENT_RESOURCE,创新服务-组件资源,161,1502,"2,1200,1203,","办公协同,",WPS comate,北京金山办公软件股份有限公司,WPS Comate企业级人机协同平台支持本地、云端双任务运行模式，企业可结合自身数据安全与合规需求灵活选择；平台创新多人多Agent协同机制，全员可围绕同一任务联动调度AI，协作过程全程透明可追溯，沉淀团队集体经验资产。平台实现人与AI全域上下文互通，自动串联会议纪要、项目文档、历史决策等信息，规避人员变动造成的项目信息断层；产品深度打通WPS 365全生态，可一键调取IM、文档、会议等各类业务数据，无缝融入企业现有办公体系，同时兼容PC端、移动端、Web端多终端及私有化部署环境。依托完备的企业管控基座，平台平衡使用安全与办公效率，打通技能、算力、数据、系统四层互通能力，保障AI应用完全运行在企业合规管理框架之内。,1.5.1,2,2026-07-19 02:01:14,2026-07-28 17:31:33,2026-07-17 15:16:21,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
17,COMPONENT_RESOURCE,创新服务-组件资源,162,1501,"2,1200,1203,","办公协同,",WPS 365,北京金山办公软件股份有限公司,WPS 365是面向组织和企业的办公新质生产力平台，包含升级后的WPS Office、WPS AI企业版和WPS协作。WPS 365打通了文档、AI、协作三大能力，让各组件间无缝切换。全面覆盖一个组织的办公需求，从文档创作到企业即时通讯（企业 IM）、会议、邮件，再到AI 应用，让组织和企业的生产力即刻起飞。,12.1.0,2,2026-07-19 02:01:14,2026-09-02 03:13:24,2026-07-17 15:15:56,0,0,11,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
18,COMPONENT_RESOURCE,创新服务-组件资源,163,1504,"2,800,801,","自然语言处理,",知识智能体,金蝶软件（中国）有限公司,知识智能体基于企业知识中心，实现内部文档动态实时处理，转化为AI可理解的知识源，增强在业务语境下的问答准确性与理解深度。主要功能：1.文本知识接入：支持多种格式文本输入，动态构建知识语境；2.语义理解与匹配：结合上下文进行语义关联，提升信息关联度与准确性；3.智能问答与信息提取：基于语义检索与生成，提供实时知识问答与关键信息输出。,1.0.0,2,2026-07-19 02:01:15,2026-09-01 20:59:37,2026-07-17 15:15:25,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
19,COMPONENT_RESOURCE,创新服务-组件资源,164,1500,"2,800,801,","自然语言处理,",合同审查智能体,金蝶软件（中国）有限公司,合同审查智能体定位是辅助用户快速审查合同风险，给出修改建议，提升合同起草、审查、比对效率。主要功能：1.支持常见类型合同风险审查；2.支持用户自定义审查规则；3.AI智能解析合同文本、识别定位风险条款内容，提供风险说明、修改建议以及法律法规依据；4.支持主体审查、红线条款、相对方审查、填写遗漏、重要条款缺失以及风险合规审查；5.支持在线编辑修改合同内容。,1.0.0,2,2026-07-19 02:01:15,2026-08-15 17:26:10,2026-07-17 15:14:57,0,0,13,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
20,COMPONENT_RESOURCE,创新服务-组件资源,165,1499,"2,800,801,","自然语言处理,",财务分析智能体,金蝶软件（中国）有限公司,财务分析智能体，是一款融合AI技术，面向财务及企业管理者的智能财务分析产品。它致力于在日常分析、月度报告及季度复盘等财务分析场景中，解决企业海量数据处理与深度洞察的核心挑战。财务分析智能体能够无缝对接ERP系统，10分钟自动生成财务分析报告；通过数据穿透归因，快速洞察经营问题，将繁杂数据转化为清晰的决策依据，驱动业务增长。,1.0.0,2,2026-07-19 02:01:15,2026-09-02 18:06:38,2026-07-17 15:14:06,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
21,COMPONENT_RESOURCE,创新服务-组件资源,166,1498,"2,900,902,","网络安全,",360资产脆弱性扫描平台,三六零数字安全科技集团有限公司,360资产脆弱性扫描平台作为360闭环漏洞管理解决方案的重要组成部分，被设计开发用来实现有效的漏洞管理。漏洞管理不是无休止地发起扫描并发现漏洞，更重要的是全面且准确的扫描，并对得到的数据进行智能有效的分析，确保关键的安全风险能优先排列，以及提供行之有效地、易于操作的修复建议和弥补措施。为此漏洞管理系统具备全面的漏洞库、低误报漏报率、直观呈现的关键风险点、逐步的漏洞修复方案等等，帮助各级别组织和单位实现高效安全地漏洞管理。,5.5.0,2,2026-07-19 02:01:15,2026-08-15 16:48:57,2026-07-17 15:11:26,0,0,18,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
22,COMPONENT_RESOURCE,创新服务-组件资源,157,1497,"2,600,604,","数据开发与服务,",首信云数据治理解决方案,首信云技术有限公司,首信云数据治理解决方案面向国资国企打造，以数据标准体系与质量管控模型为核心，结合多源数据整合与资产目录应用，支持数据治理全流程驱动，提供数据安全与合规审计保障，适配企业现有业务系统与数据基础设施，实现全场景覆盖、全链路贯通、全维度管控、全周期运营，助力企业构建标准统一、安全可控的智能化数据治理体系。,1.0.0,2,2026-07-16 02:01:18,2026-09-01 23:28:06,2026-07-14 10:08:48,0,0,6,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
23,COMPONENT_RESOURCE,创新服务-组件资源,156,1496,"2,800,801,","自然语言处理,",首信云企业大模型智能应用解决方案,首信云技术有限公司,企业大模型智能应用面向央国企打造AI服务一体化解决方案：构建“1+3+N”数智能力体系，通过统一算力供给、统一模型服务、统一数据管理、统一知识管理，遵循共性先行、安全可控、个性迭代推进原则，面向 N 类业务场景持续落地赋能。,1.0.0,2,2026-07-16 02:01:17,2026-09-02 18:06:41,2026-07-14 10:08:16,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
24,COMPONENT_RESOURCE,创新服务-组件资源,155,1495,"2,1200,1201,","内容管理,",红顺智能化穿透式监管平台,首信云技术有限公司,红顺智能化穿透式监管平台面向央国企打造，以跨领域业务风险分析模型为核心，结合合规领域智能体应用，支持智能合约驱动，提供数据沙箱保障，适配企业现有生产系统，实现全级次、全链条、全过程、全要素穿透，助力企业构建“上下贯通、实时在线”的智能化监管体系。,1.0.0,2,2026-07-16 02:01:17,2026-09-02 11:42:20,2026-07-14 10:07:22,0,0,3,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
25,COMPONENT_RESOURCE,创新服务-组件资源,158,1494,"2,900,902,","网络安全,",360高级持续性威胁预警系统,三六零数字安全科技集团有限公司,360高级持续性威胁预警系统（简称 ：NDR），是一款专门应对高级网络威胁的新一代智能安全产品。产品旁路部署在网络出口处，通过对网络进出流量进行监测和深度分析，检测零日漏洞（0DAY）、远程控制及渗透行为等攻击和控制行为，帮助用户及时发现攻击行为和失陷主机情况，并深入分析攻击者的攻击途径、关联关系等，帮助用户进行快速响应、攻击溯源。,4.1.1,2,2026-07-16 02:01:18,2026-07-25 02:01:14,2026-07-14 10:05:17,0,0,2,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
26,COMPONENT_RESOURCE,创新服务-组件资源,159,1493,"2,900,902,","网络安全,",360安全隔离与信息交换系统,三六零数字安全科技集团有限公司,360安全隔离与信息交换系统，俗称“网闸”，部署于两个不同安全级别的网络（安全域）之间，通过隔离与交换技术，以信息“摆渡”的方式实现数据交换，模拟手动拷贝动作，实现网络（安全域）之间数据可控的交换。,2.0.0,2,2026-07-16 02:01:18,2026-09-01 17:01:42,2026-07-14 10:04:24,0,0,2,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
27,COMPONENT_RESOURCE,创新服务-组件资源,138,1491,"2,1200,1203,","办公协同,",金蝶AI套件-制造云,金蝶软件（中国）有限公司,工程数据统一管理 EBOM、MBOM、工艺路线与工程变更；需求 + MRP 计划自动拆解物料、生产需求；生产、车间、简单、委外管理覆盖工单领料、工序汇报、入库返工；配套实际成本、标准成本核算与差异分析；扩展质量检验、双向质量追溯、重复生产线排产、滚动生产计划；配套服务包含生产流程落地、成本核算配置、MES 系统对接实施。,1.0.0,2,2026-07-08 02:01:01,2026-08-31 11:49:27,2026-07-03 14:22:14,0,0,19,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
28,COMPONENT_RESOURCE,创新服务-组件资源,139,1489,"2,1200,1203,","办公协同,",首信云视频管理系统,首信云技术有限公司,首信云视频是面向党政机关、企事业单位打造的国产化视频会议SaaS服务产品。平台依托首信云底座，融合云计算与人工智能技术，搭配全场景视频终端设备，以“高安全·超融合·全连接”的服务模式，为用户提供全网络适配、超高清画质、低延时传输、安全可靠的视频会议能力，可全面满足日常远程会商、协同办公、远程培训、跨域联动等多元业务场景需求，帮助客户轻量化、高效率搭建统一可视协同办公体系，降低远程协作成本，提升跨区域办公沟通与业务协同效率。,1.0.0,2,2026-07-08 02:01:01,2026-08-23 16:48:51,2026-07-03 14:21:46,0,0,15,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
29,COMPONENT_RESOURCE,创新服务-组件资源,143,1487,"2,1200,1201,","内容管理,",网站集约化管理平台,首信云技术有限公司,首信云网站集约化管理平台基于云计算环境，支持多站点管理，可完成独立网站以及网站群的快速搭建，实现集约化管理，提高运维效率、降低管理难度。主要功能包括平台首页统计视图、文章管理（文章编辑、文章审核、文章发布、文章取消发布、文章排序、回收站）、轮播图管理、样式文件管理、模板管理、ip白名单、站点配置、栏目和数据项配置、字段定义、词库管理、部门配置、用户管理、角色管理、统计分析。,1.0.0,2,2026-07-08 02:01:02,2026-07-08 20:57:00,2026-07-03 14:21:21,0,0,2,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
30,COMPONENT_RESOURCE,创新服务-组件资源,140,1486,"2,1200,1203,","办公协同,",国资云通协同办公平台,首信云技术有限公司,国资云通专为全市45家市管企业及其下属全级次企业提供服务，作为市管企业协同办公的统一入口，提供通讯录、消息、文档、任务、日程、文档协同等基础能力，以及围绕企业通用办公、内部业务管理等建设需求提供增值服务能力，发挥国资云通在政企协同、委企协同、企业间联动发展、企业内部协同办公等方面的基础支撑作用。,1.0.0,2,2026-07-08 02:01:01,2026-08-13 11:09:59,2026-07-03 14:20:58,0,0,1,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
31,COMPONENT_RESOURCE,创新服务-组件资源,141,1485,"2,1200,1203,","办公协同,",金蝶AI套件-供应链云,金蝶软件（中国）有限公司,采购管理覆盖需求、订单、收料、对账全流程，支持 VMI、配套、滚动采购；销售管理实现报价、订单、发货、售后闭环，搭配模拟报价、返利促销；库存管理包含出入库、调拨、盘点、批号序列号、呆滞库存预警；组织间结算自动处理集团内部跨主体交易；信用管理管控客户、供应商额度与账期；合同管理统一购销合同台账，联动收付款执行；可扩展条码 PDA 仓储、电商 OMS 集成、国际贸易、整车发运渠道分销等高级能力。配套服务：进销存流程梳理、库存优化方案、渠道促销体系搭建。,1.0.0,2,2026-07-08 02:01:01,2026-08-26 13:19:56,2026-07-03 14:20:32,0,0,11,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
32,COMPONENT_RESOURCE,创新服务-组件资源,137,1483,"2,1200,1205,","财税管理,",金蝶AI套件-财务云,金蝶软件（中国）有限公司,基础通用功能：总账支持多账簿、多币种、多核算体系平行记账；智能会计平台实现业务单据自动生成凭证；报表提供类 Excel 可视化模板，自动出具三大财务报表；出纳管理覆盖现金、银行流水、银企直连收付，自带资金台账与自动对账；票据管理完成应收应付票据全生命周期管控；应收、应付模块管理客户与供应商往来，自动核销、账龄分析、坏账计提；固定资产实现资产卡片、折旧计提、盘点处置全流程；存货核算适配多种计价方式，自动计算出入库成本；合并报表自动完成多层级组织数据汇总、内部往来抵消；内部往来协同解决集团内部单边挂账问题；发票管理统一进销项、数电票归档；智能结账平台自动执行期末校验、批量结账、异常预警。,1.0.0,2,2026-07-08 02:01:01,2026-09-02 01:01:08,2026-07-03 14:20:03,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
33,COMPONENT_RESOURCE,创新服务-组件资源,142,1490,"2,1200,1203,","办公协同,",云邮通邮箱系统,首信云技术有限公司,云邮通邮箱系统是面向党政机关、企事业单位等信创改造需求客户，打造的全栈信创适配、高安全、高可靠国产化云邮箱产品。产品基于首信云信创环境搭建，严格遵循等保三级安全标准建设，全面适配信创目录内主流CPU、操作系统、数据库、中间件等软硬件生态，同时支持IPv6网络协议，具备安全合规、运行稳定、功能完备的核心优势。可高效适配各类场景，全面兼容国内外主流邮件系统，支持一键平滑迁移与替换，助力客户快速完成邮箱系统国产化替代与数字化安全升级，筑牢政务及企业办公通信安全防线。,1.0.0,2,2026-07-08 02:01:01,2026-07-09 12:07:30,2026-07-03 11:20:49,0,0,1,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
34,COMPONENT_RESOURCE,创新服务-组件资源,144,1492,"2,800,802,","文本,",百科论坛自动化解析工具链,安徽飞数信息科技有限公司,此组件用于百科、论坛等复杂网页的智能内容提取，提供HTML到结构化数据的自动化解析脚本生成能力，其核心功能如下：1. 智能识别网页中的标题、正文、评论等目标内容，自动生成解析脚本，无需人工编写规则；2. 自动质检解析结果，发现问题后智能修复并重新处理，确保数据质量；3. 灵活适配多种AI模型服务商，满足不同场景的解析需求。,1.1.0,2,2026-07-08 02:01:03,2026-09-01 12:08:15,2026-07-03 10:27:09,0,0,9,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
35,COMPONENT_RESOURCE,创新服务-组件资源,145,1488,"2,800,802,","文本,",书籍文献无监督处理工具链,安徽飞数信息科技有限公司,该组件专为大模型预训练数据集的高效生产而设计，具备海量文本数据“端到端”全流程自动化处理能力，可大幅提升预训练数据集的构建效率与数据质量，为大模型预训练提供高质量数据支撑。,2.1.0,2,2026-07-08 02:01:03,2026-08-28 00:14:10,2026-07-03 10:26:48,0,0,8,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
36,COMPONENT_RESOURCE,创新服务-组件资源,146,1484,"2,800,802,","文本,",多语种网页无监督处理工具链,安徽飞数信息科技有限公司,此组件用于大模型预训练数据集生产，提供海量网页数据“端到端”自动处理能力，其核心功能如下：1. 支持中、英、日、韩、西、法、德、俄、阿拉伯语等超过100种语种识别；2. 采用前处理+后处理自动化流水线，提供网页解析、去重、高质量筛选、有害检测等完整的数据清洗能力。,2.1.0,2,2026-07-08 02:01:03,2026-07-08 02:01:03,2026-07-03 10:26:28,0,0,0,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
37,COMPONENT_RESOURCE,创新服务-组件资源,147,1482,"2,900,902,","网络安全,",360运维安全管理系统,三六零数字安全科技集团有限公司,360安全运维安全管理系统，俗称“堡垒机”，主要用途是让合法的人员管理具备权限的服务器、网络安全设备、数据库及其他远程应用的运维操作，并为此提供统一的登录界面、帐号管理、访问控制、权限控制、操作审计等功能。通常采用软硬一体的方式进行部署，可支持双机热备、集群部署、分布式部署等。,3.0.1,2,2026-07-08 02:01:03,2026-07-08 21:25:25,2026-07-03 10:26:01,0,0,1,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
38,COMPONENT_RESOURCE,创新服务-组件资源,148,1481,"2,900,902,","网络安全,",360Web应用防火墙系统,三六零数字安全科技集团有限公司,360 Web应用防火墙是新一代专业的Web应用安全防护产品，可以帮助客户应对OWASP TOP10风险，并针对Web Shell、网站挂马、暴力破解等各种Web攻击进行防御。针对目前Web安全防护所面临的挑战，360Web应用防火墙在Web资产发现、漏洞评估、流量学习、威胁定位等方面全面应用智能分析和机器学习技术，帮助用户更轻松、更全面的部署Web安全防御策略，屏蔽Web漏洞和风险，确保网站的运营安全。,5.5.1,2,2026-07-08 02:01:03,2026-09-01 17:27:12,2026-07-03 10:24:50,0,0,4,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
39,COMPONENT_RESOURCE,创新服务-组件资源,149,1480,"2,900,902,","网络安全,",360网络入侵防御系统,三六零数字安全科技集团有限公司,360 网络入侵防御系统是专用于网络入侵攻击检测和防御的安全产品，提供了从网络层分析到应用层分析、从应用识别到行为分析、从协议解析到业务语义分析的全方位分析，并采用了大量基于攻击原理的新型检测技术，确保设备抵御未知漏洞攻击的能力。360网络入侵防御系统提供了业界领先的实时、智能的防护能力，通过新一代的入侵防护技术，能够有效的阻断包括应用层面、业务层面的各类攻击，保证合法流量的正常传输。,5.5.0,2,2026-07-08 02:01:03,2026-07-08 02:01:03,2026-07-03 10:23:57,0,0,0,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
40,COMPONENT_RESOURCE,创新服务-组件资源,154,1479,"2,800,805,","视频,",视频会议AI组件,小鱼易连科技有限公司,智能化会议辅助工具，具备会议语音实时转写、中英双语字幕自动生成等基础功能，还可实现结构化会议纪要自动生成、会议重点内容提炼等智能服务，为会议提供高效的智能化辅助支持。,1.0.0,2,2026-07-08 02:01:03,2026-07-08 02:01:03,2026-06-24 15:38:10,0,0,0,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
41,COMPONENT_RESOURCE,创新服务-组件资源,150,1478,"2,900,902,","网络安全,",沃通SM2 SSL站点证书,沃通电子认证服务有限公司,SM2 SSL站点证书是基于国家密码管理局自主设计的SM2椭圆曲线公钥密码算法构建的数字安全凭证。作为国密（国家商用密码）体系的核心组件，它严格遵循 GM/T 0024-2014 等国家标准，结合SM3杂凑算法与SM4对称加密算法，为网站提供完全自主可控的端到端安全传输通道。该产品是政企单位落实《密码法》、推进信创改造以及满足等保2.0合规要求的关键基础设施。,3.0.0,2,2026-07-08 02:01:03,2026-07-08 02:01:03,2026-06-24 15:37:38,0,0,0,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
42,COMPONENT_RESOURCE,创新服务-组件资源,151,1477,"2,900,902,","网络安全,",沃通RSA SSL站点证书,沃通电子认证服务有限公司,RSA SSL站点证书是基于全球应用最广泛的RSA非对称加密算法构建的数字安全凭证。它通过“公钥加密+私钥解密”的非对称密码学机制，结合权威证书颁发机构（CA）的身份背书，为网站与用户之间建立高强度的加密传输通道。该产品不仅能有效抵御数据窃听与篡改，还能验证网站真实身份，是各类企事业单位、政务平台及金融机构构建网络信任体系、满足数据安全合规要求的核心基础设施。,3.0.0,2,2026-07-08 02:01:03,2026-07-08 02:01:03,2026-06-24 15:37:09,0,0,0,false,,https://dibj.cn/portal/api/common/calling/page?tableCode=COMPONENT_RESOURCE
