序号,接口表名,数据类别,id,biz_unique_id,app_group_id,app_group_name,top_group_code,achievement_code,achievement_provider,achievement_desc,achievement_type,apply_industry,served_scene,online_time,create_time,update_time,del_status,favorited,来源接口
11,APP_INNOVATION,创新成果-应用创新成果,11,32,23,个人政务服务,APPLICATION,紫东太初数字人创作平台,紫东太初,一站式智能测评系统，结合大语言模型与消息队列，实现多维度、自动化、可扩展的数字人能力测评，包括对话能力、音效质量、人像自然度等模块，支持异步并发任务的动态编排。,个人政务服务,S,无,2025-07-02 18:34:03,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
12,APP_INNOVATION,创新成果-应用创新成果,12,28,24,企业政务服务,APPLICATION,产业链智能分析决策平台,中科闻歌,面向产业服务部门，构建区域产业集群分析研判系统，按照“建补延强稳”的组合拳，打通创新链与产业链协同发展，赋能产业精准谋划与布局，实现“研判—解决—评估” 产创融合全链条闭环辅助决策。,企业政务服务,S,无,2025-07-02 18:30:31,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
13,APP_INNOVATION,创新成果-应用创新成果,13,27,24,企业政务服务,APPLICATION,企业外迁风险AI预警平台,中科闻歌,"构建企业生产经营风险智能识别模型与预警机制，对辖区重点企业开展全天候监测，敏锐捕捉经营异常波动，一键生成风险监测报告并迅速派发给企服部门，形成“发现-排查-稳企-反馈”闭环工作机制，实现“优质企业
不流失，重点企业不外迁”。",企业政务服务,S,无,2025-07-02 18:29:43,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
14,APP_INNOVATION,创新成果-应用创新成果,14,26,24,企业政务服务,APPLICATION,政务智能问答平台,中科闻歌,"面向市民、企业及政务人员提供7×24小时全时响应的“一对一”在线咨询和智能导办服务，
助力群众体验和政务效能双提升。",企业政务服务,S,无,2025-07-02 18:28:41,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
15,APP_INNOVATION,创新成果-应用创新成果,15,25,16,基层治理,APPLICATION,基层社会治理AI平台,中科闻歌,结合智能客服、智能助理和智能巡查3大标准基层智治套件，构成可记录可评价的治理系统，有效解决基层“九龙治水”现象导致的部门间工作重叠、协调成本高等城市治理难题，从“被动应对”变为“主动智理”，推动“技术+管理+服务”深度融合，打造AI+基层治理新式，推动管理效能与服务温度双提升。,基层治理,S,无,2025-07-02 18:28:09,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
16,APP_INNOVATION,创新成果-应用创新成果,16,24,10,投资营商管理,APPLICATION,招商服务AI助手,中科闻歌,招商服务AI助手面向政府招商部门、产业园区提供“招前数据洞察 - 招中智能决策 - 招后全周期服务”全流程闭环服务，助力用户“按图索骥，靶向招商”。,投资营商管理,S,无,2025-07-02 18:27:13,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
17,APP_INNOVATION,创新成果-应用创新成果,17,23,15,社会治安防控,APPLICATION,安全业务应用,中科闻歌,在重点安全工作方向上，提供安全事件的深度研判、风险感知以及重点目标的动态分析、多维监控等功能。,社会治安防控,S,无,2025-07-02 18:21:26,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
18,APP_INNOVATION,创新成果-应用创新成果,18,22,18,城市运行管理,APPLICATION,开源信息分析平台,中科闻歌,针对特定安全业务方向，构建智能化的场景应用。微观层面，应用专业分析模型，精准刻画重点目标的特征，实现对个体或组织的深度认知。宏观层面，结合GIS技术，实现对重点区域安全态势的全面感知，有效防范和应对各类安全威胁，为安全决策提供科学依据。,城市运行管理,S,无,2025-07-02 18:20:58,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
19,APP_INNOVATION,创新成果-应用创新成果,19,21,15,社会治安防控,APPLICATION,安全数据资源池,中科闻歌,安全数据资源池支持对多源、异构、多模态的业务数据和公开数据进行统一存储、处理、分析、应用、管理以及对外服务，实现上层应用所需数据的融汇与加工，并支持多功能检索分析服务。,社会治安防控,S,无,2025-07-02 18:20:24,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
20,APP_INNOVATION,创新成果-应用创新成果,20,20,24,企业政务服务,APPLICATION,人才库平台,中科闻歌,提供35万+全球科技人才信息检索、智能推荐、地域统计和人才信息智能问答，应用于人才推荐引进、招商引资、产业园区规划等场景,企业政务服务,S,无,2025-07-02 18:19:36,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
21,APP_INNOVATION,创新成果-应用创新成果,21,19,14,数字化矛盾化解,APPLICATION,晴天视频舆情风控系统,中科闻歌,互联网视频治理可自动巡查预警风险内容；品牌声誉管理助企业了解公众态度；竞对分析监测对手视频洞察行业趋势；多模态大数据管理提升决策质量；社会舆论监测捕捉价值信息；媒体传播评估优化策略、提升转化。,数字化矛盾化解,S,无,2025-07-02 18:18:14,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
22,APP_INNOVATION,创新成果-应用创新成果,22,18,14,数字化矛盾化解,APPLICATION,晴天舆情分析系统,中科闻歌,覆盖全网内容的精准采集、智能分析、预警及舆情应对决策支持的全链条闭环服务，赋能各领域用户实时感知全网数据，深入洞察数据价值。,数字化矛盾化解,S,无,2025-07-02 18:16:55,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
23,APP_INNOVATION,创新成果-应用创新成果,23,17,24,企业政务服务,APPLICATION,一站式数据集成平台FineDataLink,帆软,低代码/高时效的企业级一站式数据产品。“快速、高效、易用”的特点让异构数据实时融合更高效，数据开发更便捷，数据分享更方便。,企业政务服务,S,无,2025-07-02 18:14:50,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
24,APP_INNOVATION,创新成果-应用创新成果,24,16,18,城市运行管理,APPLICATION,Cardinal Optimizer,杉树科技,COPT（Cardinal Optimizer） 是一款国产高性能数学规划求解器，专注于解决大规模复杂优化问题。其核心技术基于自主开发的优化算法，支持线性规划（LP）、混合整数规划（MIP）、二次规划（QP）等多种模型，并在多个行业实现了实际应用。,城市运行管理,S,无,2025-07-02 18:14:00,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
25,APP_INNOVATION,创新成果-应用创新成果,25,15,18,城市运行管理,APPLICATION,杉数智能分析决策平台,杉树科技,围绕着数据计算的一体化分析、模型设计与开发平台。以行业领域经验积累为基础，聚焦于数据分析洞察、机器学习预测仿真、运筹优化建模计算三大核心模块。通过高度集成一体化的工作区功能，让围绕数据展开工作的业务分析员、数据科学家、算法工程师能够更聚焦、更容易、更高效的展开分析与模型工作。并能够和上下游业务系统灵活集成与扩展。,城市运行管理,S,无,2025-07-02 18:13:16,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
26,APP_INNOVATION,创新成果-应用创新成果,26,14,24,企业政务服务,APPLICATION,零代码应用搭建平台,帆软,作为一款强大易用的应用搭建工具，简道云支持用户根据自身需求、在线零基础搭建个性化管理应用。无论是数据的收集、分析、查询、共享、推送；成员之间的协作、分权、提醒；上下级之间的审批、工序流程等等，都可以在简道云中实现。 企业将搭建好的简道云应用绑定到企业微信/阿里钉钉，即可实现全员移动办公。从简单的问卷调查、报名签到，到企业内的人事行政、财务管理、流程审批、采购销售、客户管理、资产管理、项目管理等，都能见到简道云的身影,企业政务服务,S,无,2025-07-02 18:08:41,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
27,APP_INNOVATION,创新成果-应用创新成果,27,13,18,城市运行管理,APPLICATION,交通大数据模型,德生科技,提供交通大数据模型 ，通过模型运算，开发高速车流量分析数据产品，适用于以交通流规划 、交通运行态势管控、工程可行性验证、施工方案制定审批等涉及数字孪生、交通仿真的业务工作产品 、以及各类数据查询产品。,城市运行管理,S,无,2025-07-02 18:06:33,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
28,APP_INNOVATION,创新成果-应用创新成果,28,12,20,医疗服务,APPLICATION,信用就医,德生科技,基于社保、医保参保人个人信用的就医无感支付新型服务体系，覆盖门诊就医、住院押金结算、缴费结算等业务场景，实现 “先看病、后付费”的就医体验。,医疗服务,S,无,2025-07-02 17:55:31,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
29,APP_INNOVATION,创新成果-应用创新成果,29,5,19,教育服务,APPLICATION,智能语音对练平台,和君纵达,覆盖“智能创课-实景对练-个性化评价”全链路，贯穿“教学练考评”全流程，打造高效智能培训体验,教育服务,S,,2025-06-25 06:36:32,2026-06-09 14:23:26,2026-07-28 02:01:11,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=APP_INNOVATION
