序号,接口表名,数据类别,id,biz_unique_id,product_name,product_intro,detail_desc,detail_desc_plain,industry,field,use_limit_desc,use_limit_desc_plain,product_keywords,data_update_frequency,product_example,data_url,del_status,create_time,update_time,valid_status,visit_count,favorited,来源接口
11,HIGH_QUALITY_DATASET,数字资源-高质量数据集,354,PD2023122011468898,城市重点项目数据集,提供各地方政府发布的重点项目清单，帮助企业做区域市场分析。,<p>集合全国各地区政府官方平台发布的重点项目数据，帮助企业做市场分析与决策。</p>,集合全国各地区政府官方平台发布的重点项目数据，帮助企业做市场分析与决策。,信息传输、软件和信息技术服务业,未知领域,,,"商机、重点项目、城市数据,商机、重点项目、城市数据",未知,project_name|项目名称|varchar|项目名称|0; project_level|项目级别|varchar|项目级别，省级、市级、区县级|1; important_project_type_info|重点项目类型信息|varchar|重点项目类型信息|2; project_scale|建设规模|varchar|重点项目建设规模|3; annual_construct_goal|年度建设计划|varchar|年度建设计划|4; project_total_investment|总投资（万元）|decimal|总投资金额|5; completed_investment|已完成投资额（万元）|decimal|已完成投资金额|6; completed_plan_investment|年度投资金额（万元）|decimal|年度投资金额|7; source_name|来源网站名称|varchar|来源网站名称|8; project_address|建设地点|varchar|建设地点|9; construct_type|建设性质|varchar|建设性质|10; province|省|varchar|省|11; province_id|省id|int|省id|12; city|市|varchar|市|13; city_id|市id|int|市id|14; area|区县|varchar|区县|15; area_id|区县id|int|区县id|16; year|年度|varchar|年度|17; charge_department|主管部门|varchar|主管,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_962,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
12,HIGH_QUALITY_DATASET,数字资源-高质量数据集,353,PD2023122011500384,企业围串标记录数据集,提供企业在招投标过程中的围串标不良行为记录，帮助业主单位进行风险审查，帮助金融机构贷前准入调查。,<p>通过企业在公开招投标活动中的围串标行为，能够反映一家企业的信用信誉情况。</p><p>帮助甲方业主：对供应商进行资质审查、风险评估以及风险监测。</p><p>帮助金融机构：贷前准入调查、贷中授信审批、贷后预警监控。</p><p>帮助建筑企业服务商：对拟合作建筑企业进行诚信评估。</p>,通过企业在公开招投标活动中的围串标行为，能够反映一家企业的信用信誉情况。帮助甲方业主：对供应商进行资质审查、风险评估以及风险监测。帮助金融机构：贷前准入调查、贷中授信审批、贷后预警监控。帮助建筑企业服务商：对拟合作建筑企业进行诚信评估。,信息传输、软件和信息技术服务业,未知领域,,,"风险评估、准入调查、招投标、围串标,风险评估、准入调查、招投标、围串标",未知,punish_type|处罚类别|varchar|处罚类别，围标、串标|0; punish_reason|处罚原因|varchar|处罚原因|1; punish_result|处罚结果|varchar|处罚结果|2; punish_amount|处罚金额|decimal|处罚金额|3; punish_authority|处罚机关|varchar|处罚机关|4; punish_file_number|处罚决定文书号|varchar|处罚决定文书号|5; punish_date_start|处罚开始日期|date|处罚开始日期|6; punish_date_end|处罚结束日期|date|处罚结束日期|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_963,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
13,HIGH_QUALITY_DATASET,数字资源-高质量数据集,352,PD2023122212091342,2022年2季度招标信息,2022年2季度招标信息,<p>数据集包括：2022年4月5月6月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2022年4月5月6月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1011,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
14,HIGH_QUALITY_DATASET,数字资源-高质量数据集,351,PD2023122519314562,2022年3季度招标信息,2022年3季度招标信息,<p>数据集包括：2022年7月8月9月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2022年7月8月9月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1054,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
15,HIGH_QUALITY_DATASET,数字资源-高质量数据集,350,PD2023122519381015,2022年4季度招标信息,2022年4季度招标信息,<p>数据集包括：2022年10月11月12月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2022年10月11月12月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1055,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
16,HIGH_QUALITY_DATASET,数字资源-高质量数据集,349,PD2023122519404613,2023年1季度招标信息,2023年1季度招标信息,<p>数据集包括：2023年1月2月3月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2023年1月2月3月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1056,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
17,HIGH_QUALITY_DATASET,数字资源-高质量数据集,348,PD2023122519432346,2023年2季度招标信息,2023年2季度招标信息,<p>数据集包括：2023年4月5月6月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2023年4月5月6月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1057,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
18,HIGH_QUALITY_DATASET,数字资源-高质量数据集,347,PD2023122519481646,2023年3季度招标信息,2023年3季度招标信息,<p>数据集包括：2023年7月8月9月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2023年7月8月9月三个月份全国招标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1058,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
19,HIGH_QUALITY_DATASET,数字资源-高质量数据集,346,PD2023122519514119,2021年4季度中标信息,2021年4季度中标信息,<p>数据集包括：2021年10月11月12月三个月份全国中标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含中标方、中标时间、中标金额、中标地区、中标产品等详细数据</p>,数据集包括：2021年10月11月12月三个月份全国中标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含中标方、中标时间、中标金额、中标地区、中标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1059,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
20,HIGH_QUALITY_DATASET,数字资源-高质量数据集,345,PD2023122520077982,2022年1季度中标信息,2022年1季度中标信息,<p>数据集包括：2022年1月2月3月三个月份全国中标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含中标方、中标时间、中标金额、中标地区、中标产品等详细数据</p>,数据集包括：2022年1月2月3月三个月份全国中标信息，覆盖全产品种类，所有信息均已完成数据结构化，包含中标方、中标时间、中标金额、中标地区、中标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1060,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
